Name,W,L,Pct,Sets,Aces,Aces_PS,Assists,Assists_PS,Block Solos,Block Assists,Blocks_PS,Digs,Digs_PS,Kills,Errors,Total Attacks,Hitting_Pct,Kills,Kills_PS,Aces,Aces_PS,Digs,Digs_PS
USC Upstate,14,16,0.467,104,206,1.98,1110,10.67,43,356,2.13,1662,15.98,1204,586,3785,0.163,1204,11.58,206,1.98,1662,15.98
UT Arlington,12,15,0.444,106,97,0.92,1217,11.48,53,317,2,1734,16.36,1332,568,3892,0.196,1332,12.57,97,0.92,1734,16.36
UT Martin,15,17,0.469,121,151,1.25,1349,11.15,47,442,2.21,1856,15.34,1486,700,4418,0.178,1486,12.28,151,1.25,1856,15.34
Utah,22,9,0.71,113,168,1.49,1454,12.87,43,454,2.39,1569,13.88,1610,606,3882,0.259,1610,14.25,168,1.49,1569,13.88
Utah St.,22,9,0.71,125,190,1.52,1471,11.77,37,519,2.37,1633,13.06,1604,632,4160,0.234,1604,12.83,190,1.52,1633,13.06
Utah Tech,7,15,0.318,82,99,1.21,867,10.57,39,249,1.99,1269,15.48,939,438,2973,0.169,939,11.45,99,1.21,1269,15.48
Utah Valley,16,13,0.552,114,166,1.46,1274,11.18,53,506,2.68,1525,13.38,1417,611,3827,0.211,1417,12.43,166,1.46,1525,13.38
UTEP,24,8,0.75,127,222,1.75,1576,12.41,55,460,2.24,1686,13.28,1744,593,4240,0.271,1744,13.73,222,1.75,1686,13.28
UTRGV,17,11,0.607,107,159,1.49,1284,12,56,314,1.99,1630,15.23,1407,597,3840,0.211,1407,13.15,159,1.49,1630,15.23
UTSA,8,16,0.333,87,120,1.38,925,10.63,11,247,1.55,1365,15.69,997,460,3176,0.169,997,11.46,120,1.38,1365,15.69
Valparaiso,26,10,0.722,136,155,1.14,1628,11.97,52,482,2.15,2330,17.13,1743,760,5265,0.187,1743,12.82,155,1.14,2330,17.13
VCU,18,12,0.6,109,131,1.2,1378,12.64,53,357,2.12,1800,16.51,1498,572,3976,0.233,1498,13.74,131,1.20,1800,16.51
Villanova,15,15,0.5,109,145,1.33,1198,10.99,24,300,1.6,1511,13.86,1324,546,3672,0.212,1324,12.15,145,1.33,1511,13.86
Virginia,8,20,0.286,100,118,1.18,1016,10.16,52,432,2.68,1251,12.51,1112,591,3318,0.157,1112,11.12,118,1.18,1251,12.51
Virginia Tech,12,18,0.4,113,152,1.35,1100,9.73,51,417,2.3,1493,13.21,1205,576,3706,0.17,1205,10.66,152,1.35,1493,13.21
Wake Forest,15,14,0.517,104,148,1.42,1212,11.65,87,286,2.21,1409,13.55,1373,563,3507,0.231,1373,13.2,148,1.42,1409,13.55
Washington,26,5,0.839,119,209,1.76,1523,12.8,46,475,2.38,1496,12.57,1638,529,3887,0.285,1638,13.76,209,1.76,1496,12.57
Washington St.,20,12,0.625,116,203,1.75,1370,11.81,75,415,2.44,1613,13.91,1536,573,3974,0.242,1536,13.24,203,1.75,1613,13.91
Weber St.,22,10,0.688,120,251,2.09,1405,11.71,35,434,2.1,1910,15.92,1521,561,4326,0.222,1521,12.68,251,2.09,1910,15.92
West Virginia,19,10,0.655,102,154,1.51,1242,12.18,68,334,2.3,1648,16.16,1384,593,3771,0.21,1384,13.57,154,1.51,1648,16.16
Western Caro.,11,17,0.393,105,146,1.39,1207,11.5,73,259,1.93,1763,16.79,1335,528,3907,0.207,1335,12.71,146,1.39,1763,16.79
Western Ill.,5,24,0.172,108,126,1.17,1075,9.95,53,305,1.9,1694,15.69,1192,533,3920,0.168,1192,11.04,126,1.17,1694,15.69
Western Ky.,28,2,0.933,97,169,1.74,1266,13.05,82,332,2.56,1296,13.36,1369,349,2988,0.341,1369,14.11,169,1.74,1296,13.36
Western Mich.,19,12,0.613,116,158,1.36,1506,12.98,67,168,1.3,1963,16.92,1630,573,4477,0.236,1630,14.05,158,1.36,1963,16.92
Wichita St.,19,10,0.655,117,145,1.24,1400,11.97,64,334,1.97,1875,16.03,1502,590,4090,0.223,1502,12.84,145,1.24,1875,16.03
William & Mary,5,16,0.238,74,94,1.27,782,10.57,32,214,1.88,885,11.96,854,475,2451,0.155,854,11.54,94,1.27,885,11.96
Winthrop,18,10,0.643,97,137,1.41,1169,12.05,50,295,2.04,1819,18.75,1290,524,3838,0.2,1290,13.3,137,1.41,1819,18.75
Wisconsin,31,3,0.912,122,178,1.46,1643,13.47,44,554,2.63,1814,14.87,1781,547,4244,0.291,1781,14.6,178,1.46,1814,14.87
Wofford,17,14,0.548,116,173,1.49,1313,11.32,108,302,2.23,1629,14.04,1443,602,3936,0.214,1443,12.44,173,1.49,1629,14.04
Wright St.,23,8,0.742,120,144,1.2,1465,12.21,40,453,2.22,2355,19.63,1604,601,4768,0.21,1604,13.37,144,1.20,2355,19.63
Wyoming,16,14,0.533,111,147,1.32,1266,11.41,72,340,2.18,1500,13.51,1401,556,3737,0.226,1401,12.62,147,1.32,1500,13.51
Xavier,11,18,0.379,111,123,1.11,1247,11.23,65,300,1.94,1795,16.17,1379,583,4042,0.197,1379,12.42,123,1.11,1795,16.17
Yale,16,7,0.696,88,159,1.81,994,11.3,66,197,1.87,1389,15.78,1129,415,3131,0.228,1129,12.83,159,1.81,1389,15.78
Youngstown St.,6,23,0.207,106,170,1.6,1124,10.6,29,228,1.35,1557,14.69,1196,539,3621,0.181,1196,11.28,170,1.60,1557,14.69
